C:\Users\ChenJeff\Documents\vesuvius\train.py:115: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  self.scaler = GradScaler()

Training:   0%|          | 0/1048 [00:00<?, ?it/s]
Training:   0%|          | 1/1048 [00:27<7:57:01, 27.34s/it]
Training:   0%|          | 2/1048 [00:27<3:17:39, 11.34s/it]
Training:   0%|          | 3/1048 [00:27<1:48:22,  6.22s/it]
Training:   0%|          | 4/1048 [00:27<1:06:27,  3.82s/it]
Training:   0%|          | 5/1048 [00:27<43:17,  2.49s/it]  
Training:   1%|          | 6/1048 [00:28<31:34,  1.82s/it]
Training:   1%|          | 7/1048 [00:28<21:59,  1.27s/it]
Training:   1%|          | 8/1048 [00:29<19:04,  1.10s/it]
Training:   1%|          | 9/1048 [00:29<13:49,  1.25it/s]
Training:   1%|          | 10/1048 [00:30<13:09,  1.31it/s]
Training:   1%|          | 11/1048 [00:30<09:49,  1.76it/s]
Training:   1%|          | 12/1048 [00:30<10:55,  1.58it/s]
Training:   1%|          | 13/1048 [00:31<08:17,  2.08it/s]
Training:   1%|\u258f         | 14/1048 [00:31<09:13,  1.87it/s]
Training:   1%|\u258f         | 15/1048 [00:31<07:06,  2.42it/s]
Training:   2%|\u258f         | 16/1048 [00:32<08:44,  1.97it/s]
Training:   2%|\u258f         | 17/1048 [00:32<06:46,  2.53it/s]
Training:   2%|\u258f         | 18/1048 [00:33<08:10,  2.10it/s]
Training:   2%|\u258f         | 19/1048 [00:33<06:23,  2.69it/s]
Training:   2%|\u258f         | 20/1048 [00:34<08:02,  2.13it/s]
Training:   2%|\u258f         | 21/1048 [00:34<06:18,  2.72it/s]
Training:   2%|\u258f         | 22/1048 [00:35<08:29,  2.01it/s]
Training:   2%|\u258f         | 23/1048 [00:35<06:38,  2.57it/s]
Training:   2%|\u258f         | 24/1048 [00:36<09:03,  1.89it/s]
Training:   2%|\u258f         | 25/1048 [00:36<07:00,  2.44it/s]
Training:   2%|\u258f         | 26/1048 [00:37<09:47,  1.74it/s]
Training:   3%|\u258e         | 27/1048 [00:37<07:31,  2.26it/s]
Training:   3%|\u258e         | 28/1048 [00:38<09:37,  1.77it/s]
Training:   3%|\u258e         | 29/1048 [00:38<07:25,  2.29it/s]
Training:   3%|\u258e         | 30/1048 [00:39<09:24,  1.80it/s]
Training:   3%|\u258e         | 31/1048 [00:39<07:13,  2.35it/s]
Training:   3%|\u258e         | 32/1048 [00:40<09:07,  1.85it/s]
Training:   3%|\u258e         | 33/1048 [00:40<07:02,  2.40it/s]
Training:   3%|\u258e         | 34/1048 [00:41<08:45,  1.93it/s]
Training:   3%|\u258e         | 35/1048 [00:41<06:47,  2.48it/s]
Training:   3%|\u258e         | 36/1048 [00:41<07:37,  2.21it/s]
Training:   4%|\u258e         | 37/1048 [00:41<05:59,  2.81it/s]
Training:   4%|\u258e         | 38/1048 [00:42<08:21,  2.02it/s]
Training:   4%|\u258e         | 39/1048 [00:42<06:30,  2.58it/s]
Training:   4%|\u258d         | 40/1048 [00:43<08:32,  1.97it/s]
Training:   4%|\u258d         | 41/1048 [00:43<06:40,  2.51it/s]
Training:   4%|\u258d         | 42/1048 [00:44<07:34,  2.21it/s]
Training:   4%|\u258d         | 43/1048 [00:44<05:58,  2.80it/s]
Training:   4%|\u258d         | 44/1048 [00:45<07:18,  2.29it/s]
Training:   4%|\u258d         | 45/1048 [00:45<05:49,  2.87it/s]
Training:   4%|\u258d         | 46/1048 [00:45<06:58,  2.40it/s]
Training:   4%|\u258d         | 47/1048 [00:45<05:32,  3.01it/s]
Training:   5%|\u258d         | 48/1048 [00:46<07:05,  2.35it/s]
Training:   5%|\u258d         | 49/1048 [00:46<05:37,  2.96it/s]
Training:   5%|\u258d         | 50/1048 [00:47<06:57,  2.39it/s]
Training:   5%|\u258d         | 51/1048 [00:47<05:33,  2.99it/s]
Training:   5%|\u258d         | 52/1048 [00:48<08:11,  2.03it/s]
Training:   5%|\u258c         | 53/1048 [00:48<06:22,  2.60it/s]
Training:   5%|\u258c         | 54/1048 [00:49<09:13,  1.79it/s]
Training:   5%|\u258c         | 55/1048 [00:49<07:07,  2.32it/s]
Training:   5%|\u258c         | 56/1048 [00:50<08:00,  2.06it/s]
Training:   5%|\u258c         | 57/1048 [00:50<06:18,  2.62it/s]
Training:   6%|\u258c         | 58/1048 [00:50<07:10,  2.30it/s]
Training:   6%|\u258c         | 59/1048 [00:51<05:39,  2.91it/s]
Training:   6%|\u258c         | 60/1048 [00:51<07:39,  2.15it/s]
Training:   6%|\u258c         | 61/1048 [00:51<06:01,  2.73it/s]
Training:   6%|\u258c         | 62/1048 [00:52<06:56,  2.37it/s]
Training:   6%|\u258c         | 63/1048 [00:52<05:32,  2.96it/s]
Training:   6%|\u258c         | 64/1048 [00:53<07:01,  2.34it/s]
Training:   6%|\u258c         | 65/1048 [00:53<05:33,  2.95it/s]
Training:   6%|\u258b         | 66/1048 [00:53<06:44,  2.43it/s]
Training:   6%|\u258b         | 67/1048 [00:54<05:21,  3.05it/s]
Training:   6%|\u258b         | 68/1048 [00:54<07:03,  2.32it/s]
Training:   7%|\u258b         | 69/1048 [00:54<05:34,  2.93it/s]
Training:   7%|\u258b         | 70/1048 [00:55<06:25,  2.54it/s]
Training:   7%|\u258b         | 71/1048 [00:55<05:08,  3.17it/s]
Training:   7%|\u258b         | 72/1048 [00:56<06:27,  2.52it/s]
Training:   7%|\u258b         | 73/1048 [00:56<05:10,  3.14it/s]
Training:   7%|\u258b         | 74/1048 [00:56<06:10,  2.63it/s]
Training:   7%|\u258b         | 75/1048 [00:56<04:58,  3.26it/s]
Training:   7%|\u258b         | 76/1048 [00:57<06:30,  2.49it/s]
Training:   7%|\u258b         | 77/1048 [00:57<05:12,  3.11it/s]
Training:   7%|\u258b         | 78/1048 [00:58<06:47,  2.38it/s]
Training:   8%|\u258a         | 79/1048 [00:58<05:23,  3.00it/s]
